#Round,HeatNumber,WinnerDest,LoserDest
W1,01,09A,17A
W1,02,10A,18A
W1,03,11A,19A
W1,04,12A,20A
W1,05,13A,21A
W1,06,14A,22A
W1,07,15A,23A
W1,08,16A,24A

W2,09,29A,21B
W2,10,29B,22B
W2,11,30A,23B
W2,12,30B,24B
W2,13,31A,17B
W2,14,31B,18B
W2,15,32A,19B
W2,16,32B,20B

W3,29,39A,36B
W3,30,39B,35B
W3,31,40A,34B
W3,32,40B,33B

W4,39,44A,41B
W4,40,44B,42B

W5,44,46A,45B



Championship6,46,(AWINS?Place1:47B),(AWINS?Place2:47A)
Championship6,47,Place1,Place2


#losers
L13,17,25A,OUT
L13,18,25B,OUT
L13,19,26A,OUT
L13,20,26B,OUT
L13,21,27A,OUT
L13,22,27B,OUT
L13,23,28A,OUT
L13,24,28B,OUT

L12,25,33A,OUT
L12,26,34A,OUT
L12,27,35A,OUT
L12,28,36A,OUT

L11,33,37A,OUT
L11,34,37B,OUT
L11,35,38A,OUT
L11,36,38B,OUT

L10,37,41A,501A
L10,38,42A,501B

L09,41,43A,502A
L09,42,43B,502B

L08,43,45A,Place4

L07,45,46B,Place3

Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed01,09B
Seed02,10B
Seed03,11B
Seed04,12B
Seed05,13B
Seed06,14B
Seed07,15B
Seed08,16B
Seed09,01A
Seed10,02A
Seed11,03A
Seed12,04A
Seed13,05A
Seed14,06A
Seed15,07A
Seed16,08A
Seed17,08B
Seed18,04B
Seed19,06B
Seed20,02B
Seed21,07B
Seed22,03B
Seed23,05B
Seed24,01B
