#Round,HeatNumber,WinnerDest,LoserDest

W1,01,49A,33A
W1,02,49B,33B
W1,03,50A,34A
W1,04,50B,34B
W1,05,51A,35A
W1,06,51B,35B
W1,07,52A,36A
W1,08,52B,36B
W1,09,53A,37A
W1,10,53B,37B
W1,11,54A,38A
W1,12,54B,38B
W1,13,55A,39A
W1,14,55B,39B
W1,15,56A,40A
W1,16,56B,40B
W1,17,57A,41A
W1,18,57B,41B
W1,19,58A,42A
W1,20,58B,42B
W1,21,59A,43A
W1,22,59B,43B
W1,23,60A,44A
W1,24,60B,44B
W1,25,61A,45A
W1,26,61B,45B
W1,27,62A,46A
W1,28,62B,46B
W1,29,63A,47A
W1,30,63B,47B
W1,31,64A,48A
W1,32,64B,48B


W2,49,89A,69B
W2,50,89B,70B
W2,51,90A,71B
W2,52,90B,72B
W2,53,91A,65B
W2,54,91B,66B
W2,55,92A,67B
W2,56,92B,68B
W2,57,93A,77B
W2,58,93B,78B
W2,59,94A,79B
W2,60,94B,80B
W2,61,95A,73B
W2,62,95B,74B
W2,63,96A,75B
W2,64,96B,76B


W3,89,109A,101B
W3,90,109B,102B
W3,91,110A,103B
W3,92,110B,104B
W3,93,111A,97B
W3,94,111B,98B
W3,95,112A,99B
W3,96,112B,100B

W4,109,119A,114B
W4,110,119B,113B
W4,111,120A,116B
W4,112,120B,115B

W5,119,124A,122B
W5,120,124B,121B

W6,124,126A,125B



Championship7,126,(AWINS?Place1:127B),(AWINS?Place2:127A)
Championship7,127,Place1,Place2


#losers
L17,33,65A,OUT
L17,34,66A,OUT
L17,35,67A,OUT
L17,36,68A,OUT
L17,37,69A,OUT
L17,38,70A,OUT
L17,39,71A,OUT
L17,40,72A,OUT
L17,41,73A,OUT
L17,42,74A,OUT
L17,43,75A,OUT
L17,44,76A,OUT
L17,45,77A,OUT
L17,46,78A,OUT
L17,47,79A,OUT
L17,48,80A,OUT

L16,65,81A,OUT
L16,66,81B,OUT
L16,67,82A,OUT
L16,68,82B,OUT
L16,69,83A,OUT
L16,70,83B,OUT
L16,71,84A,OUT
L16,72,84B,OUT
L16,73,85A,OUT
L16,74,85B,OUT
L16,75,86A,OUT
L16,76,86B,OUT
L16,77,87A,OUT
L16,78,87B,OUT
L16,79,88A,OUT
L16,80,88B,OUT


L15,81,97A,OUT
L15,82,98A,OUT
L15,83,99A,OUT
L15,84,100A,OUT
L15,85,101A,OUT
L15,86,102A,OUT
L15,87,103A,OUT
L15,88,104A,OUT

L14,97,105A,OUT
L14,98,105B,OUT
L14,99,106A,OUT
L14,100,106B,OUT
L14,101,107A,OUT
L14,102,107B,OUT
L14,103,108A,OUT
L14,104,108B,OUT

L13,105,113A,OUT
L13,106,114A,OUT
L13,107,115A,OUT
L13,108,116A,OUT

L12,113,117A,OUT
L12,114,117B,OUT
L12,115,118A,OUT
L12,116,118B,OUT

L11,117,121A,501A
L11,118,122A,501B

L10,121,123A,502A
L10,122,123B,502B

L09,123,125A,Place4

L08,125,126B,Place3

Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed01,01A
Seed02,02A
Seed03,03A
Seed04,04A
Seed05,05A
Seed06,06A
Seed07,07A
Seed08,08A
Seed09,09A
Seed10,10A
Seed11,11A
Seed12,12A
Seed13,13A
Seed14,14A
Seed15,15A
Seed16,16A
Seed17,17A
Seed18,18A
Seed19,19A
Seed20,20A
Seed21,21A
Seed22,22A
Seed23,23A
Seed24,24A
Seed25,25A
Seed26,26A
Seed27,27A
Seed28,28A
Seed29,29A
Seed30,30A
Seed31,31A
Seed32,32A

Seed33,32B
Seed34,31B
Seed35,30B
Seed36,29B
Seed37,28B
Seed38,27B
Seed39,26B
Seed40,25B
Seed41,24B
Seed42,23B
Seed43,22B
Seed44,21B
Seed45,20B
Seed46,19B
Seed47,18B
Seed48,17B
Seed49,16B
Seed50,15B
Seed51,14B
Seed52,13B
Seed53,12B
Seed54,11B
Seed55,10B
Seed56,09B
Seed57,08B
Seed58,07B
Seed59,06B
Seed60,05B
Seed61,04B
Seed62,03B
Seed63,02B
Seed64,01B
