#Round,HeatNumber,WinnerDest,LoserDest
Left1,01,07A,05A
Left1,02,07B,05B
Left1,03,08A,06A
Left1,04,08B,06B

Right2,05,09A,501A
Right2,06,10A,501B

Left3,07,11A,10B
Left3,08,11B,09B

Right4,09,12A,502A
Right4,10,12B,502B

Left5,11,14A,13B

Right6,12,13A,Place4

Right7,13,14B,Place3

Championship8,14,(AWINS?Place1:15A),(AWINS?Place2:15B)
Championship8,15,Place1,Place2

Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed1,01A
Seed2,03A
Seed3,02A
Seed4,04A
Seed5,04B
Seed6,02B
Seed7,03B
Seed8,01B



