W1,01,13A,09A
W1,02,13B,12B
W1,03,14A,10A
W1,04,14B,11B
W1,05,15A,11A
W1,06,15B,10B
W1,07,16A,12A
W1,08,16B,09B

W2,13,23A,19B
W2,14,23B,20B
W2,15,24A,17B
W2,16,24B,18B

W3,23,28A,25B
W3,24,28B,26B

W4,28,30A,29B

#losers
L11,09,17A,OUT
L11,10,18A,OUT
L11,11,19A,OUT
L11,12,20A,OUT

L8,25,27A,502A
L8,26,27B,502B

L7,27,29A,Place4
L6,29,30B,Place3
Championship5,30,(AWINS?Place1:31B),(AWINS?Place2:31A)
Championship5,31,Place1,Place2


L10,17,21A,OUT
L10,18,21B,OUT
L10,19,22A,OUT
L10,20,22B,OUT

L9,21,25A,501A
L9,22,26A,501B

Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed01,01A
Seed02,02A
Seed03,03A
Seed04,04A
Seed05,05A
Seed06,06A
Seed07,07A
Seed08,08A
Seed09,08B
Seed10,06B
Seed11,04B
Seed12,02B
Seed13,07B
Seed14,03B
Seed15,05B
Seed16,01B
