At,By, Lane1, Lane2, Phase
"2020-09-07 08:18:38","cjw","888","889","A"
"2020-09-07 08:21:11","cjw","889","888","B"
"2020-09-07 08:43:40","mmiszewski","108","135","A"
"2020-09-07 08:46:30","Starter","132","125","A"
"2020-09-07 08:48:35","Starter","132","125","A"
"2020-09-07 08:54:06","Starter","135","108","B"
"2020-09-07 08:57:23","Starter","236","238","A"
"2020-09-07 08:58:56","Starter","216","210","A"
"2020-09-07 09:02:43","Starter","132","125","A"
"2020-09-07 09:04:11","Starter","336","315","A"
"2020-09-07 09:06:18","Starter","317","341","A"
"2020-09-07 09:09:52","Starter","238","236","B"
"2020-09-07 09:11:08","Starter","210","216","B"
"2020-09-07 09:15:45","Starter","125","132","B"
"2020-09-07 09:18:24","Starter","114","177","A"
"2020-09-07 09:20:13","Starter","341","317","B"
"2020-09-07 09:22:23","Starter","315","336","B"
"2020-09-07 09:26:54","Starter","113","150","A"
"2020-09-07 09:30:25","Starter","205","208","A"
"2020-09-07 09:31:47","Starter","177","114","B"
"2020-09-07 09:33:36","Starter","325","313","A"
"2020-09-07 09:37:07","Starter","150","113","B"
"2020-09-07 09:40:45","Starter","108","133","A"
"2020-09-07 09:42:19","Starter","208","205","B"
"2020-09-07 09:43:38","Starter","313","325","B"
"2020-09-07 09:46:50","Starter","125","111","A"
"2020-09-07 09:50:12","Starter","375","303","A"
"2020-09-07 09:51:23","Starter","341","397","A"
"2020-09-07 09:53:18","Starter","315","389","A"
"2020-09-07 09:55:14","Starter","217","213","A"
"2020-09-07 09:58:08","Starter","133","108","B"
"2020-09-07 09:59:35","Starter","210","237","A"
"2020-09-07 10:01:25","Starter","303","375","B"
"2020-09-07 10:03:24","Starter","389","315","B"
"2020-09-07 10:05:22","Starter","397","341","B"
"2020-09-07 10:06:15","Starter","238","203","A"
"2020-09-07 10:07:49","Starter","111","125","B"
"2020-09-07 10:09:31","Starter","113","109","A"
"2020-09-07 10:11:06","Starter","237","210","B"
"2020-09-07 10:12:45","Starter","213","217","B"
"2020-09-07 10:16:13","Starter","177","131","A"
"2020-09-07 10:18:01","Starter","203","238","B"
"2020-09-07 10:19:25","Starter","109","113","B"
"2020-09-07 10:24:29","Starter","313","301","A"
"2020-09-07 10:27:18","Starter","131","177","B"
"2020-09-07 10:29:57","Starter","375","307","A"
"2020-09-07 10:31:59","Starter","150","108","A"
"2020-09-07 10:35:52","Starter","301","313","B"
"2020-09-07 10:41:36","Starter","303","389","A"
"2020-09-07 10:43:38","Starter","114","125","A"
"2020-09-07 10:45:23","Starter","213","211","A"
"2020-09-07 10:47:53","Starter","307","375","B"
"2020-09-07 10:49:43","Starter","108","150","B"
"2020-09-07 10:51:28","Starter","208","212","A"
"2020-09-07 10:52:44","Starter","325","397","A"
"2020-09-07 10:54:16","Starter","389","303","B"
"2020-09-07 10:56:35","Starter","211","213","B"
"2020-09-07 10:58:32","Starter","135","113","A"
"2020-09-07 10:59:49","Starter","125","114","B"
"2020-09-07 11:01:57","Starter","397","325","B"
"2020-09-07 11:03:25","Starter","212","208","B"
"2020-09-07 11:04:51","Starter","132","131","A"
"2020-09-07 11:07:22","Starter","205","203","A"
"2020-09-07 11:09:10","Starter","113","135","B"
"2020-09-07 11:11:18","Starter","317","313","A"
"2020-09-07 11:13:15","Starter","217","210","A"
"2020-09-07 11:15:12","Starter","336","307","A"
"2020-09-07 11:17:10","Starter","203","205","B"
"2020-09-07 11:18:34","Starter","131","132","B"
"2020-09-07 11:22:10","Starter","210","217","B"
"2020-09-07 11:24:02","Starter","313","317","B"
"2020-09-07 11:25:49","Starter","307","336","B"
"2020-09-07 11:28:42","Starter","216","213","A"
"2020-09-07 11:30:20","Starter","236","208","A"
"2020-09-07 11:36:51","Starter","125","108","A"
"2020-09-07 11:38:50","Starter","177","109","A"
"2020-09-07 11:40:37","Starter","213","216","B"
"2020-09-07 11:42:36","Starter","303","397","A"
"2020-09-07 11:45:01","Starter","208","236","B"
"2020-09-07 11:46:08","Starter","375","301","A"
"2020-09-07 11:48:21","Starter","109","177","B"
"2020-09-07 11:49:42","Starter","108","125","B"
"2020-09-07 11:51:32","Starter","317","336","A"
"2020-09-07 11:53:40","Starter","341","315","A"
"2020-09-07 11:56:08","Starter","397","303","B"
"2020-09-07 11:57:15","Starter","133","111","A"
"2020-09-07 11:59:21","Starter","113","131","A"
"2020-09-07 12:00:46","Starter","301","375","B"
"2020-09-07 12:03:22","Starter","336","317","B"
"2020-09-07 12:04:53","Starter","315","341","B"
"2020-09-07 12:07:05","Starter","237","238","A"
"2020-09-07 12:08:41","Starter","111","133","B"
"2020-09-07 12:10:25","Starter","131","113","B"
"2020-09-07 12:16:18","Starter","212","211","A"
"2020-09-07 12:17:54","Starter","238","237","B"
"2020-09-07 12:23:08","Starter","336","315","A"
"2020-09-07 12:25:38","Starter","203","217","A"
"2020-09-07 12:27:35","Starter","303","375","A"
"2020-09-07 12:28:27","Starter","211","212","B"
"2020-09-07 12:30:41","Starter","213","208","A"
"2020-09-07 12:32:27","Starter","317","397","A"
"2020-09-07 12:34:19","Starter","315","336","B"
"2020-09-07 12:36:24","Starter","108","177","A"
"2020-09-07 12:37:52","Starter","217","203","B"
"2020-09-07 12:39:39","Starter","375","303","B"
"2020-09-07 12:42:07","Starter","131","125","A"
"2020-09-07 12:43:07","Starter","113","133","A"
"2020-09-07 12:44:38","Starter","208","213","B"
"2020-09-07 12:46:56","Starter","397","317","B"
"2020-09-07 12:48:02","Starter","177","108","B"
"2020-09-07 12:50:06","Starter","125","131","B"
"2020-09-07 12:51:49","Starter","133","113","B"
"2020-09-07 13:10:54","Starter","341","301","A"
"2020-09-07 13:12:43","Starter","336","303","A"
"2020-09-07 13:14:23","Starter","133","177","A"
"2020-09-07 13:19:39","Starter","301","341","B"
"2020-09-07 13:21:48","Starter","177","133","B"
"2020-09-07 13:22:48","Starter","303","336","B"
"2020-09-07 13:24:21","Starter","111","109","A"
"2020-09-07 13:26:15","Starter","113","108","A"
"2020-09-07 13:28:02","Starter","208","238","A"
"2020-09-07 13:29:24","Starter","315","375","A"
"2020-09-07 13:31:27","Starter","213","203","A"
"2020-09-07 13:32:47","Starter","217","212","A"
"2020-09-07 13:34:23","Starter","109","111","B"
"2020-09-07 13:35:52","Starter","108","113","B"
"2020-09-07 13:39:39","Starter","203","213","B"
"2020-09-07 13:41:23","Starter","238","208","B"
"2020-09-07 13:42:41","Starter","212","217","B"
"2020-09-07 13:44:16","Starter","375","315","B"
"2020-09-07 13:46:04","Starter","303","341","A"
"2020-09-07 13:52:38","Starter","341","303","B"
"2020-09-07 14:02:34","Starter","238","212","A"
"2020-09-07 14:04:50","Starter","237","211","A"
"2020-09-07 14:05:54","Starter","208","217","A"
"2020-09-07 14:09:12","Starter","212","238","B"
"2020-09-07 14:12:14","Starter","211","237","B"
"2020-09-07 14:14:20","Starter","113","111","A"
"2020-09-07 14:16:06","Starter","217","208","B"
"2020-09-07 14:19:44","Starter","301","303","A"
"2020-09-07 14:24:40","Starter","111","113","B"
"2020-09-07 14:28:26","Starter","303","301","B"
"2020-09-07 14:38:30","Starter","238","211","A"
"2020-09-07 14:44:58","Starter","109","111","A"
"2020-09-07 14:47:11","Starter","211","238","B"
"2020-09-07 14:52:18","Starter","111","109","B"
"2020-09-07 15:05:09","Starter","237","211","A"
"2020-09-07 15:11:45","Starter","211","237","B"
