At,By, Lane1, Lane2, Phase
"2020-09-05 08:50:35","Starter","506","536","A"
"2020-09-05 08:57:08","Starter","505","595","A"
"2020-09-05 09:00:33","Starter","596","502","A"
"2020-09-05 09:05:52","Starter","536","506","B"
"2020-09-05 09:11:48","Starter","595","505","B"
"2020-09-05 09:16:31","Starter","502","596","B"
"2020-09-05 09:35:13","Starter","504","589","A"
"2020-09-05 09:49:37","Starter","589","504","B"
"2020-09-05 09:53:30","Starter","506","507","A"
"2020-09-05 10:08:22","Starter","507","506","B"
"2020-09-05 10:13:57","Starter","536","589","A"
"2020-09-05 10:16:49","Starter","504","505","A"
"2020-09-05 10:25:06","Starter","505","504","B"
"2020-09-05 10:28:54","Starter","589","536","B"
"2020-09-05 10:31:25","Starter","507","502","A"
"2020-09-05 10:34:06","Starter","596","506","A"
"2020-09-05 10:42:51","Starter","506","596","B"
"2020-09-05 10:44:39","Starter","502","507","B"
"2020-09-05 11:02:03","Starter","595","536","A"
"2020-09-05 11:05:29","Starter","505","596","A"
"2020-09-05 11:13:45","Starter","536","595","B"
"2020-09-05 11:16:30","Starter","507","504","A"
"2020-09-05 11:18:09","Starter","596","505","B"
"2020-09-05 11:29:28","mmiszewski","504","507","B"
"2020-09-05 11:32:30","Starter","536","506","A"
"2020-09-05 11:44:55","Starter","506","536","B"
"2020-09-05 11:54:36","Starter","502","595","A"
"2020-09-05 12:04:01","Starter","595","502","B"
"2020-09-05 12:08:21","Starter","504","506","A"
"2020-09-05 12:17:53","Starter","506","504","B"
"2020-09-05 12:28:56","Starter","507","536","A"
"2020-09-05 12:37:20","Starter","506","596","A"
"2020-09-05 12:39:33","Starter","536","507","B"
"2020-09-05 12:45:33","Starter","596","506","B"
"2020-09-05 12:59:35","Starter","425","409","A"
"2020-09-05 13:05:28","Starter","505","506","A"
"2020-09-05 13:10:23","Starter","409","425","B"
"2020-09-05 13:16:32","Starter","506","505","B"
"2020-09-05 13:19:08","Starter","441","406","A"
"2020-09-05 13:30:39","mmiszewski","405","410","A"
"2020-09-05 13:32:14","Starter","406","441","B"
"2020-09-05 13:34:32","Starter","437","413","A"
"2020-09-05 13:37:11","Starter","410","405","B"
"2020-09-05 13:42:59","Starter","403","430","A"
"2020-09-05 13:45:51","Starter","413","437","B"
"2020-09-05 13:48:13","Starter","407","408","A"
"2020-09-05 13:51:20","Starter","430","403","B"
"2020-09-05 13:58:38","Starter","436","415","A"
"2020-09-05 14:02:15","Starter","408","407","B"
"2020-09-05 14:08:45","Starter","415","436","B"
"2020-09-05 14:24:11","Starter","425","441","A"
"2020-09-05 14:27:12","Starter","409","406","A"
"2020-09-05 14:33:16","Starter","441","425","B"
"2020-09-05 14:35:42","Starter","401","404","A"
"2020-09-05 14:38:26","Starter","436","430","A"
"2020-09-05 14:41:05","Starter","415","403","A"
"2020-09-05 14:42:14","Starter","406","409","B"
"2020-09-05 14:44:55","Starter","410","408","A"
"2020-09-05 14:46:20","Starter","404","401","B"
"2020-09-05 14:49:06","Starter","405","407","A"
"2020-09-05 14:50:23","Starter","430","436","B"
"2020-09-05 14:52:36","Starter","403","415","B"
"2020-09-05 14:54:49","Starter","408","410","B"
"2020-09-05 14:58:59","Starter","407","405","B"
"2020-09-05 15:36:39","Starter","413","401","A"
"2020-09-05 15:43:48","Starter","437","404","A"
"2020-09-05 15:45:40","Starter","415","441","A"
"2020-09-05 15:50:59","Starter","401","413","B"
"2020-09-05 15:53:10","Starter","404","437","B"
"2020-09-05 15:56:24","Starter","441","415","B"
"2020-09-05 16:13:26","Starter","436","401","A"
"2020-09-05 16:16:16","Starter","407","413","A"
"2020-09-05 16:21:22","Starter","404","410","A"
"2020-09-05 16:24:48","Starter","425","408","A"
"2020-09-05 16:27:05","Starter","401","436","B"
"2020-09-05 16:29:03","Starter","413","407","B"
"2020-09-05 16:31:40","Starter","410","404","B"
"2020-09-05 16:35:05","Starter","408","425","B"
"2020-09-05 16:46:10","Starter","408","425","B"
"2020-09-05 17:04:08","Starter","121","122","A"
"2020-09-05 17:05:36","Starter","171","104","A"
"2020-09-05 17:08:00","Starter","114","108","A"
"2020-09-05 17:10:35","Starter","441","410","A"
"2020-09-05 17:15:34","Starter","104","171","B"
"2020-09-05 17:17:25","Starter","122","121","B"
"2020-09-05 17:19:56","Starter","410","441","B"
"2020-09-05 17:23:19","Starter","108","114","B"
"2020-09-05 17:25:49","Starter","430","413","A"
"2020-09-05 17:27:25","Starter","131","107","A"
"2020-09-05 17:29:10","Starter","133","119","A"
"2020-09-05 17:32:29","mmiszewski","133","119","A"
"2020-09-05 17:33:44","Starter","170","136","A"
"2020-09-05 17:41:30","Starter","413","430","B"
"2020-09-05 17:43:47","Starter","107","131","B"
"2020-09-05 17:45:00","Starter","133","116","A"
"2020-09-05 17:47:16","Starter","136","170","B"
"2020-09-05 17:48:40","Starter","138","103","A"
"2020-09-05 17:50:30","Starter","140","125","A"
"2020-09-05 17:52:48","Starter","129","126","A"
"2020-09-05 17:54:26","Starter","113","105","A"
"2020-09-05 17:56:08","Starter","135","110","A"
"2020-09-05 17:58:12","Starter","139","128","A"
"2020-09-05 18:01:10","Starter","118","177","A"
"2020-09-05 18:02:46","Starter","116","133","B"
"2020-09-05 18:05:03","Starter","410","401","A"
"2020-09-05 18:09:09","Starter","132","117","A"
"2020-09-05 18:12:05","Starter","125","140","B"
"2020-09-05 18:13:56","Starter","103","138","B"
"2020-09-05 18:16:36","Starter","171","124","A"
"2020-09-05 18:17:38","Starter","105","113","B"
"2020-09-05 18:19:34","Starter","430","441","A"
"2020-09-05 18:20:57","Starter","401","410","B"
"2020-09-05 18:23:39","Starter","126","129","B"
"2020-09-05 18:25:05","Starter","128","139","B"
"2020-09-05 18:27:11","Starter","110","135","B"
"2020-09-05 18:28:34","Starter","122","109","A"
"2020-09-05 18:29:39","Starter","441","430","B"
"2020-09-05 18:32:07","Starter","177","118","B"
"2020-09-05 18:33:44","Starter","413","425","A"
"2020-09-05 18:36:08","Starter","317","314","A"
"2020-09-05 18:38:11","Starter","117","132","B"
"2020-09-05 18:40:13","Starter","124","171","B"
"2020-09-05 18:42:03","Starter","382","311","A"
"2020-09-05 18:43:59","Starter","109","122","B"
"2020-09-05 18:45:11","Starter","378","308","A"
"2020-09-05 18:47:08","Starter","319","307","A"
"2020-09-05 18:49:25","Starter","425","413","B"
"2020-09-05 18:51:00","Starter","314","317","B"
"2020-09-05 18:53:01","Starter","311","382","B"
"2020-09-05 18:55:22","Starter","307","319","B"
"2020-09-05 18:57:25","Starter","308","378","B"
"2020-09-05 18:59:02","Starter","318","305","A"
"2020-09-05 19:08:02","Starter","325","320","A"
"2020-09-05 19:11:32","Starter","305","318","B"
"2020-09-05 19:13:37","Starter","408","436","A"
"2020-09-05 19:16:42","Starter","413","410","A"
"2020-09-05 19:18:26","Starter","425","401","A"
"2020-09-05 19:21:27","Starter","320","325","B"
"2020-09-05 19:24:19","Starter","131","130","A"
"2020-09-05 19:25:50","Starter","410","413","B"
"2020-09-05 19:27:56","Starter","436","408","B"
"2020-09-05 19:29:56","Starter","401","425","B"
"2020-09-05 19:31:33","Starter","313","389","A"
"2020-09-05 19:33:30","Starter","375","321","A"
"2020-09-05 19:37:32","Starter","130","131","B"
"2020-09-05 19:42:38","Starter","397","395","A"
"2020-09-05 19:43:31","Starter","341","315","A"
"2020-09-05 19:45:39","Starter","389","313","B"
"2020-09-05 19:47:39","Starter","321","375","B"
"2020-09-05 19:50:35","Starter","425","436","A"
"2020-09-05 19:53:43","Starter","315","341","B"
"2020-09-05 19:56:21","Starter","395","397","B"
"2020-09-05 19:59:32","Starter","436","425","B"
"2020-09-05 20:05:51","Starter","302","301","A"
"2020-09-05 20:14:28","Starter","301","302","B"
"2020-09-05 20:18:26","Starter","408","436","A"
"2020-09-05 20:26:03","Starter","436","408","B"
"2020-09-05 20:49:19","Starter","408","436","A"
"2020-09-05 20:59:43","Starter","436","408","B"
"2020-09-06 07:48:27","Starter","111","150","A"
"2020-09-06 07:56:03","Starter","336","396","A"
"2020-09-06 07:58:56","Starter","150","111","B"
"2020-09-06 08:08:44","Starter","396","336","B"
"2020-09-06 08:24:17","mmiszewski","396","336","B"
"2020-09-06 08:27:11","Starter","336","396","A"
"2020-09-06 08:32:23","Starter","302","305","A"
"2020-09-06 08:34:34","Starter","378","321","A"
"2020-09-06 08:36:41","Starter","104","140","A"
"2020-09-06 08:40:22","Starter","311","341","A"
"2020-09-06 08:41:27","Starter","396","336","B"
"2020-09-06 08:45:43","Starter","305","302","B"
"2020-09-06 08:47:44","Starter","140","104","B"
"2020-09-06 08:49:38","Starter","321","378","B"
"2020-09-06 08:51:24","Starter","341","311","B"
"2020-09-06 09:06:07","Starter","107","116","A"
"2020-09-06 09:10:59","mmiszewski","310","316","A"
"2020-09-06 09:11:46","mmiszewski","316","310","B"
"2020-09-06 09:20:11","Starter","116","107","B"
"2020-09-06 09:25:42","Starter","114","104","A"
